,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
2886,7.0,5.5,76227294.0,1457672.0
2887,18.0,117.44,8117410.0,27084323.0
2888,25.0,128.02,9383839.0,33541489.0
2889,152.0,220.2,56706175.0,3390720.0
2890,99.0,939.3,133972345.0,328372251.0
2891,214.0,1399.54,192160474.0,345499108.0
2892,57.0,432.93,40073481.0,147712220.0
2893,348.0,1864.6,822958685.0,333405146.0
2894,132.0,446.65,51531538.0,33927392.0
2895,68.0,1216.26,49579062.0,181879707.0
2896,392.0,1735.57,685145360.0,496262424.0
2898,549.0,2582.09,1466077915.0,735835605.0
2899,236.0,2170.58,638685948.0,804505210.0
2900,43.0,524.15,49468979.0,164992006.0
2901,161.0,2947.95,266475255.0,975765513.0
2902,101.0,516.96,218106467.0,198830155.0
2903,146.0,250.24,84532293.0,2343600.0
2904,25.0,390.1,27026655.0,136046529.0
2905,123.0,690.33,203703203.0,223347802.0
2906,16.0,105.08,3489665.0,61321270.0
2907,28.0,62.56,20945255.0,100000.0
2909,233.0,1370.2,586227723.0,546801844.0
2910,397.0,3046.54,668371417.0,582407281.0
2913,48.0,378.35,118074710.0,215871895.0
2914,21.0,92.25,2752861.0,14453170.0
2916,60.0,205.94,223095479.0,39981.0
2917,148.0,230.48,77572566.0,6294885.0
2918,23.0,32.47,1785810.0,1786743.0
2920,15.0,104.94,14341624.0,9523881.0
2923,93.0,347.75,237443898.0,182825466.0
2924,78.0,232.34,146238907.0,156793635.0
2926,75.0,241.71,158785171.0,193098301.0
2928,76.0,288.83,125812348.0,250791634.0
2929,86.0,771.62,153288732.0,296671034.0
2930,206.0,788.54,791214740.0,676398760.0
2931,96.0,720.74,194622853.0,357330193.0
2932,81.0,444.27,149501950.0,287003568.0
2933,28.0,125.12,10350480.0,53462859.0
2934,147.0,790.59,247154188.0,295251462.0
2935,253.0,1485.65,613850747.0,504114904.0
2936,316.0,3950.0,983621690.0,1157009991.0
2937,180.0,1097.99,411682020.0,643413273.0
2938,164.0,473.97,381171417.0,420291714.0
2940,131.0,578.24,321994475.0,545376839.0
2941,123.0,803.13,362402323.0,546784975.0
2942,149.0,885.15,386312693.0,429197151.0
2943,207.0,1788.66,351946914.0,902453627.0
2944,88.0,355.28,88226596.0,217570548.0
2945,117.0,1209.0,65092336.0,251046803.0
2946,49.0,382.01,52038672.0,183787357.0
2947,64.0,430.88,95467355.0,252121317.0
2948,176.0,621.66,338286687.0,239995347.0
2949,32.0,127.44,17487399.0,34250487.0
2950,60.0,208.69,61589440.0,95437882.0
