code,count,mean,std,min,25%,50%,75%,max
20643-3,2.0,563.0,107.48023074035522,487.0,525.0,563.0,601.0,639.0
20644-1,2.0,236.5,33.23401871576773,213.0,224.75,236.5,248.25,260.0
20645-8,2.0,76.0,7.0710678118654755,71.0,73.5,76.0,78.5,81.0
20647-4,2.0,20.0,12.727922061357855,11.0,15.5,20.0,24.5,29.0
20648-2,2.0,79.5,7.7781745930520225,74.0,76.75,79.5,82.25,85.0
20649-0,2.0,131.0,16.97056274847714,119.0,125.0,131.0,137.0,143.0
20650-8,2.0,158.0,55.154328932550705,119.0,138.5,158.0,177.5,197.0
20651-6,2.0,26.5,3.5355339059327378,24.0,25.25,26.5,27.75,29.0
20652-4,2.0,66.0,2.8284271247461903,64.0,65.0,66.0,67.0,68.0
20655-7,2.0,278.0,86.2670273047588,217.0,247.5,278.0,308.5,339.0
20656-5,2.0,98.5,2.1213203435596424,97.0,97.75,98.5,99.25,100.0
20657-3,2.0,36.5,14.849242404917497,26.0,31.25,36.5,41.75,47.0
20658-1,2.0,109.0,14.142135623730951,99.0,104.0,109.0,114.0,119.0
20659-9,2.0,63.5,3.5355339059327378,61.0,62.25,63.5,64.75,66.0
20660-7,2.0,62.5,7.7781745930520225,57.0,59.75,62.5,65.25,68.0
20661-5,1.0,197.0,,197.0,197.0,197.0,197.0,197.0
2069-3,298.0,103.31208053691275,3.8881571505228543,88.0,102.0,104.0,106.0,118.0
2075-0,3893.0,102.78705368610326,5.246700806112755,20.0,100.0,103.0,105.0,130.0
2077-6,14.0,12.857142857142858,4.503966505838413,7.0,10.25,12.0,14.0,22.0
2078-4,67.0,89.67164179104478,47.60996459862015,21.0,51.5,89.0,110.5,200.0
2085-9,713.0,54.09256661991585,17.865677446498108,9.0,43.0,50.0,63.0,121.0
2089-1,33.0,78.54545454545455,34.7113912400264,31.0,54.0,72.0,100.0,192.0
2091-7,265.0,25.852075471698114,16.444327722248385,4.0,14.0,21.0,33.0,92.0
2093-3,825.0,171.93212121212122,44.66537122736688,32.0,140.0,170.0,206.0,336.0
2095-8,38.0,4.336842105263157,1.5555343311790097,2.2,2.925,3.85,5.55,8.1
21000-5,317.0,14.122082018927443,1.855410686623427,11.8,13.0,13.5,14.6,22.0
2106-3,0.0,,,,,,,
21089-8,0.0,,,,,,,
2112-1,0.0,,,,,,,
2118-8,0.0,,,,,,,
21190-4,0.0,,,,,,,
21198-7,8.0,12620.5996125,27155.731133637513,2.0,26.75,78.0,6197.625,76595.2969
21262-1,0.0,,,,,,,
2132-9,220.0,806.9181818181818,1207.8484674063452,150.0,418.75,550.0,764.75,15080.0
2141-0,1.0,7.0,,7.0,7.0,7.0,7.0,7.0
21414-8,0.0,,,,,,,
21416-3,0.0,,,,,,,
2143-6,25.0,16.4004,11.613412317948013,1.7,8.4,14.3,19.4,46.3
21441-1,0.0,,,,,,,
2145-1,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
21482-5,1.0,14.1,,14.1,14.1,14.1,14.1,14.1
21518-6,0.0,,,,,,,
21556-6,0.0,,,,,,,
2157-6,209.0,280.9952153110048,660.9994435701694,5.0,59.0,105.0,251.0,5652.0
2160-0,3801.0,1.0870060510392001,1.0932878381600328,0.1,0.61,0.81,1.1,18.0
2161-8,183.0,207.6277595628415,396.93253700454557,3.5,57.725,99.0,145.72,2719.0
21613-5,0.0,,,,,,,
2162-6,3.0,995.2133333333333,864.9479617487593,1.64,702.82,1404.0,1492.0,1580.0
2164-2,7.0,159.28571428571428,38.80598873762607,98.0,140.5,162.0,180.0,214.0
21654-9,0.0,,,,,,,
21668-9,0.0,,,,,,,
21759-6,0.0,,,,,,,
2191-5,6.0,303.31666666666666,182.60263324132723,76.9,170.75,309.5,452.0,500.0
2193-1,1.0,422.0,,422.0,422.0,422.0,422.0,422.0
22131-7,0.0,,,,,,,
22322-2,0.0,,,,,,,
2236-8,5.0,12.6,8.763560920082657,6.0,6.0,8.0,17.0,26.0
2243-4,10.0,102.92,92.02884571939629,10.2,39.5,83.0,133.5,305.0
22483-2,4.0,0.6975,0.48044250436446617,0.18,0.4875,0.635,0.8450000000000001,1.34
22488-1,0.0,,,,,,,
22496-4,0.0,,,,,,,
22600-1,0.0,,,,,,,
22672-0,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
2270-7,0.0,,,,,,,
2276-4,136.0,601.9919110294118,3052.000238291483,1.3,23.75,67.25,321.05,35083.0
2283-0,1.0,985.0,,985.0,985.0,985.0,985.0,985.0
2284-8,107.0,13.107476635514017,5.003276302708196,4.7,9.350000000000001,11.9,15.35,31.4
2324-2,71.0,73.3943661971831,144.75136109631376,10.0,18.0,32.0,67.0,1105.0
2334-1,0.0,,,,,,,
2335-8,0.0,,,,,,,
2336-6,207.0,3.258454106280193,0.6864241991188607,1.7,2.7,3.3,3.8,4.7
2339-0,1129.0,155.18689105403013,71.77092181429826,37.0,104.0,141.0,187.0,788.0
2340-8,739.0,168.2489851150203,67.23094713771073,32.0,120.0,157.0,201.0,496.0
2341-6,1329.0,176.68096313017307,80.77083792627539,31.0,115.0,157.0,225.0,574.0
2342-4,47.0,54.276595744680854,11.851806187170054,18.0,46.0,55.0,62.0,77.0
2344-0,7.0,126.42857142857143,105.71480051354705,22.0,87.0,96.0,119.5,354.0
2345-7,3491.0,128.67888857061013,62.85671392470287,34.0,94.0,108.0,142.0,1123.0
2349-9,0.0,,,,,,,
2350-7,2.0,175.0,106.06601717798213,100.0,137.5,175.0,212.5,250.0
2357-2,2.0,13.899999999999999,3.2526911934581184,11.6,12.75,13.899999999999999,15.049999999999999,16.2
23761-0,1.0,68.0,,68.0,68.0,68.0,68.0,68.0
23826-1,0.0,,,,,,,
23979-8,2.0,49.5,12.020815280171307,41.0,45.25,49.5,53.75,58.0
24042-4,0.0,,,,,,,
24108-3,5.0,248.28000000000003,359.4875408133083,11.0,35.0,96.4,225.0,874.0
24111-7,0.0,,,,,,,
24113-3,0.0,,,,,,,
24124-0,0.0,,,,,,,
24312-1,0.0,,,,,,,
24321-2,19.0,16.736842105263158,4.942357796112633,10.0,13.0,15.0,18.5,28.0
24351-9,11.0,2.4363636363636365,0.6874194167649431,1.8,1.95,2.2,2.9000000000000004,3.7
24467-3,15.0,601.9333333333333,151.16616527453994,281.0,504.5,644.0,692.0,863.0
24471-5,4.0,145.5,55.29617226053415,100.0,101.5,133.5,177.5,215.0
24558-9,5.0,14563570.4,351747.1465076867,14217862.0,14259359.0,14545710.0,14724890.0,15070031.0
2458-8,110.0,147.28181818181818,99.94210542624594,43.0,76.25,109.5,193.0,547.0
24597-7,1.0,14594820.0,,14594820.0,14594820.0,14594820.0,14594820.0,14594820.0
24616-5,2.0,14853240.5,98353.60351558046,14783694.0,14818467.25,14853240.5,14888013.75,14922787.0
2462-0,4.0,45.5,14.888474289418197,31.0,34.0,44.5,56.0,62.0
2464-6,3.0,9.633333333333333,5.118919156749141,4.0,7.45,10.9,12.45,14.0
